User Input,Sentiment,Confidence,Resolution
this service is terrible,NEGATIVE,0.98,Escalated to human agent
i ordered the wrong product,NEGATIVE,0.93,Escalated to human agent
i am truely not happy,NEGATIVE,0.97,Escalated to human agent
this is terrible,NEGATIVE,0.97,Escalated to human agent
this service is terrible,NEGATIVE,0.98,Escalated to human agent
i'm not happy,NEGATIVE,0.96,Escalated to human agent
i will never order from you again,NEGATIVE,0.94,Escalated to human agent
im not happy,NEGATIVE,0.95,Escalated to human agent
"can you help me pick a perfume for my brother, Dior Sauvage or Versace Eros are great masculine options.",POSITIVE,0.89,GPT-4 Fallback
I need to talk to someone else!,NEUTRAL,0.56,GPT-4 Fallback
I’m tired of repeating myself! I need to talk to someone who can actually help.,NEGATIVE,0.77,GPT-4 Fallback
How do I exchange an incorrect item I received,NEUTRAL,0.57,GPT-4 Fallback
Can you recommend an oud-based perfume,NEUTRAL,0.89,GPT-4 Fallback
How long do I have to return my order?,NEUTRAL,0.57,GPT-4 Fallback
How long do I have to return my order?,NEUTRAL,0.57,GPT-4 Fallback
How long do I have to return my order?,NEUTRAL,0.57,GPT-4 Fallback
How long do I have to return my order?,NEUTRAL,0.57,GPT-4 Fallback
How long do I have to return my order?,NEUTRAL,0.57,GPT-4 Fallback
my order is late,NEGATIVE,0.9,GPT-4 Fallback
my order is late,NEGATIVE,0.9,GPT-4 Fallback
MY ORDER IS LATE,NEGATIVE,0.76,GPT-4 Fallback
my order is late,NEGATIVE,0.9,GPT-4 Fallback
where is elon usk,NEUTRAL,0.8,GPT-4 Fallback
where is elon musk,NEUTRAL,0.84,GPT-4 Fallback
where is trump,NEUTRAL,0.6,GPT-4 Fallback
where is miceal jordan?,NEUTRAL,0.81,GPT-4 Fallback
where is elon musk,NEUTRAL,0.84,GPT-4 Fallback
how many homeless people are there,NEUTRAL,0.58,GPT-4 Fallback
where is brittany spears,NEUTRAL,0.86,GPT-4 Fallback
what year was you born in,NEUTRAL,0.81,GPT-4 Fallback
what does medina mean,NEUTRAL,0.78,GPT-4 Fallback
where is my order,NEUTRAL,0.58,KB Answer
where is my order,NEUTRAL,0.58,KB Answer
i need a refund,NEUTRAL,0.77,KB Answer
what is the best perfume for summer,NEUTRAL,0.61,KB Answer
how long does a refund take,NEUTRAL,0.79,KB Answer
