question,answer
how do i request a refund,you can request a refund by visiting your account and completing the refund form under 'my orders' please ensure you provide your reason for the request and upload any relevant evdidence
what should i do if my order arrives damaged,i'm sorry to hear your perfume may have arrived damaged occasionally this can happen during transit please fill out our return forms under 'my orders' in your account and upload a photo of the damage we will review this within 24 hours and our after sales team will be in contact to arrange a replacement or a refund
my order is taking too long what can i do,we're sorry for the delay please check your tracking number we sent you via email to track the delivery of your order if you notice a problem please return to us and share the deatils
i'm not happy with this service,we're sorry to hear that could you provide specific details about your concern so we can address it and make it right for you alternatively you can give us your email and i will escalte this and a customer service agent will be in touch within 24 hours
how do i exchange my product,please complete the exchange form included in your order and return the product in its original condition and packaging once we receive your return the exchange process will take approximately 5 to 7 working days and you will be updated via email when your new item has been sent out for delivery
why is my order delayed,delays can occur due to high demand or courier issues please check your tracking details for further information about the expected delivery date and any causes for delays
my order arrived damaged i amd m unhappy,we sincerely apologise please could you log in your account and under 'my orders' raise a complaint and ensure you upload photos of the damaged items and a description of the issue so we can escalate this to the appropriate team you will be contacted within 24 hours of receiving your complaint
how long does it take to receive my refund,refunds are processed within 5-7 working days from the date we receive your return
how long do i have to return my order,you have 28 days from the date of delivery to return your order for a refund or exchange
the wrong products were sent to me what should i do,we apologize for the mistake please log into your account and under 'my orders' you can raise a complaint for your specific order please add details of the incorrect items including pictures we'll resolve this by either resending the correct products or issuing a refund you will be contacted with 24 hours with an update
how long does it take for someone to resolve my issue,if i cannot resolve your issue then once escalated a customer service representative will contact you within 24 hours to address your concerns
i'm not happy with my product,we're sorry to hear that could you let us know the reason you're unhappy we're here to help resolve the issue
i'd like to speak to someone else,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to a member of our resolutions team please email resolutions@a-zperfumescom and a team memebr will be in contact with you within 24 hours i apologise again and if there is anything else i can assist you with please don't hesitate to let me know
your response isn't good enough i need to talk to someone now,i understand your frustration and i'm sorry i haven't been able to meet your expectations today to speak to a memeber of our 'resolutions' team please email resolutions@a-zperfumescom and a team memebr will be in contact with you within 24 hours i apologise again and if there is anything else i can assist you with please don't hesitate to let me know
a product i want is out of stock when will it return,"we're sorry you couldn't order your preferred product please complete your details in the ""notify me when it's back in stocl"" form on the product page and you'll receive a email when its back in stock"
i sent my order back but haven't received a refund,refunds usually take 5-7 working days from when we receive your return if this time has passed contact complete our a contact form for further investigation
can i return a product if i've removed the packaging,items must be unused and returned in their original packaging to be eligible for a return or exchange
do i have to pay to return my order,we provide a free returns label with your order attach the label to your package and drop it off at your local post office returns are processed within 5 to 7 days
can i request a sample before purchasing a full-sized perfume,yes we offer sample sizes for most of our perfumes visit the product page and select the sample size option you would like to order
do you ship internationally,yes we ship worldwide shipping fees and delivery times vary by location check our shipping policy for details and shipping times based on location
can i customize a gift box for someone,absolutely we offer gift-wrapping and customizable messages at checkout
what is your policy on unsealed perfumes,for hygiene reasons we cannot accept returns or exchanges on opened perfume bottles unless the item is defective or damaged
how do i find the right scent for me,use our fragrance finder quiz on our homepage to match your preferences with recommended perfumes
can i order a subscription for monthly perfumes,yes we offer subscription boxes that include exclusive scents delivered to your door monthly
are your products cruelty-free,all our perfumes are cruelty-free and not tested on animals
do you offer discounts for bulk orders,yes we provide special pricing for bulk purchases you can contact our sales team for more details by filling out a form on our contact page one of our team memebers from our sales department will be in contact within 24 hours
what ingredients are used in your perfumes,each product page includes a detailed list of ingredients and allergens
how can i test a perfume's longevity,apply the perfume to your pulse points wrist neck and observe its scent over several hours
what's the difference between eau de parfum and eau de toilette,eau de parfum has a higher concentration of fragrance oils lasting longer than eau de toilette
how do i store my perfumes properly,store perfumes in a cool dark place away from direct sunlight to preserve their scent
do you offer gift cards,yes digital gift cards are available in various denominations and can be used for any product on our website
how do i know if a perfume is authentic,we guarantee authenticity for all products each item is sourced directly from the manufacturer or verified suppliers
can i track my order,yes once your order is placed you will receive a tracking link via email alterantively you can track your delivery under 'my orders' when you log into your account
what's your policy on limited-edition perfumes,limited-edition perfumes are available while supplies last be sure to order quickly to secure your bottle
do you have a loyalty program,yes you can join our rewards program to earn points on every purchase and redeem them for discounts by navigating to the rewards options in your account
what's your return policy for gift items,gift items can be exchanged or refunded within 28 days of purchase provided they are unopened and in their original packaging
can i personalize a bottle with a name or message,yes we offer bottle engraving services for select perfumes check the product page for eligibility and pricing
how do i contact customer support,you can reach us by filling out the contact form on our support page and a team member will be in contact within 24 hours alterantively is there anything i can help you with today
what happens if my order gets lost in transit,occasionally this can happen although we supply you with a tracking number via email to avoid these types of situations you can also log into your account and under 'my orders' you can monitor delievry updates for your specific order
i ordered my product two weeks ago and it hasn't come what the hell is going on,i am sorry to hear about this delay please provide your order number and a contact email address so i can escalate this to the delivery team we aim to resolve this issue within 24 hours
my product arrived broken i want my money back now,change please provide a photo of the damaged product your email address and your order number i will escalate this to our customer service team who will be in touch within 48 hours to arrange a refund or a replacemnet
why did i get the wrong item,i am sorry for this mistake please log into your account and under 'my orders' you'll have the option to raise a complaint for this specific order and once received i will ensure a replacement is sent out within 24 hours
i can't log into my account to track my order,try resetting your password using the forgot password link on thr login page if you still have issues provide your email address and i will escalte this to our accounts team who will be in touch within 48 hours
i ordered the wrong perfume can i exchange it,yes exchanges are possible for unopened products within 28 days please complete the returns form sent to you with your order and return the product back to us using your free shipping label please note all perfumes must be unopened and in their original condition to be eligible for a exchange or return
